paper_id,title,authors,year,venue,primary_method,expected_method_rung,arxiv_url,notes
2601.03595,Controllable LLM Reasoning via SAE-Based Steering,Fang et al.,2026,arXiv,SAE + Steering,2,https://arxiv.org/abs/2601.03595,SAE steering for reasoning control
2512.05534,On the Theoretical Foundation of Sparse Dictionary Learning in MI,Tang et al.,2025,arXiv,SAE Theory,1,https://arxiv.org/abs/2512.05534,SAE theoretical foundations
2512.13568,Superposition as Lossy Compression: Measure with SAE,Bereska et al.,2025,TMLR,SAE Analysis,1,https://arxiv.org/abs/2512.13568,SAE superposition measurement
2511.09432,Group Equivariance Meets MI: Equivariant SAEs,Erdogan & Lucic,2025,NeurIPS Workshop,SAE,1,https://arxiv.org/abs/2511.09432,Equivariant SAE extension
2509.06608,Small Vectors Big Effects: RL-Induced Reasoning via Steering,Sinii et al.,2025,arXiv,Steering Vectors,2,https://arxiv.org/abs/2509.06608,RL steering vector analysis
2505.22637,Understanding Steering Vector Reliability,Braun et al.,2025,ICLR Workshop,Steering Vectors,2,https://arxiv.org/abs/2505.22637,Steering reliability analysis
2505.24859,Beyond Multiple Choice: Steering for Summarization,Braun et al.,2025,ICML Workshop,Steering Vectors,2,https://arxiv.org/abs/2505.24859,Steering evaluation in free-form generation
2508.11214,How Causal Abstraction Underpins Computational Explanation,Geiger et al.,2025,arXiv,Causal Abstraction,2,https://arxiv.org/abs/2508.11214,Theoretical - causal abstraction foundations
2410.20161,Causal Abstraction in Model Interpretability: A Compact Survey,Zhang,2024,arXiv,Survey,NA,https://arxiv.org/abs/2410.20161,Causal abstraction survey
2309.16042,Towards Best Practices of Activation Patching,Zhang & Nanda,2023,ICLR,Activation Patching,2,https://arxiv.org/abs/2309.16042,Patching metrics and methods comparison
2411.08745,Separating Tongue from Thought: Language-Agnostic Concepts,Dumas et al.,2024,arXiv,Activation Patching,2,https://arxiv.org/abs/2411.08745,Multilingual concept representations
2507.20936,Dissecting Persona-Driven Reasoning via Activation Patching,Poonia & Jain,2025,EMNLP Findings,Activation Patching,2,https://arxiv.org/abs/2507.20936,Persona encoding in LLMs
2504.02976,Localized Definitions Distributed Reasoning via Patching,Bahador,2025,arXiv,Activation Patching,2,https://arxiv.org/abs/2504.02976,Knowledge localization in GPT-2
2503.05613,A Survey on SAEs: Interpreting LLM Internal Mechanisms,Shu et al.,2025,EMNLP Findings,Survey,NA,https://arxiv.org/abs/2503.05613,Comprehensive SAE survey
2502.03714,Universal SAEs: Interpretable Cross-Model Concept Alignment,Thasarathan et al.,2025,arXiv,SAE,1,https://arxiv.org/abs/2502.03714,Cross-model SAE alignment
2509.18127,Safe-SAIL: Fine-grained Safety Landscape via SAE,Weng et al.,2025,arXiv,SAE Attribution,1,https://arxiv.org/abs/2509.18127,SAE for safety analysis
2601.02989,MI of Large-Scale Counting in LLMs,Hasani et al.,2026,arXiv,Circuit Analysis,2,https://arxiv.org/abs/2601.02989,Counting circuit discovery
2512.18092,Faithful and Stable Neuron Explanations for MI,Yan et al.,2025,arXiv,Neuron Attribution,1,https://arxiv.org/abs/2512.18092,Neuron explanation evaluation
