paper_id,title,authors,year,venue,primary_method,valid_claims,overclaim_rate,replication_status
2509.06608,Small Vectors Big Effects: RL-Induced Reasoning via Steering,Sinii et al.,2025,arXiv,Steering Vectors,3,0.6666666666666666,
2509.18127,Safe-SAIL: Fine-grained Safety Landscape via SAE,Weng et al.,2025,arXiv,SAE Attribution,3,1.0,
2510.01070,Eliciting Secret Knowledge from Language Models,Cywiński et al.,2025,arXiv,Probing + Steering,5,0.8,
2510.06182,Mixing Mechanisms: How Language Models Retrieve Bound Entities In-Context,Gur-Arieh et al.,2025,arXiv,Activation Analysis,4,0.75,
2511.05923,Causal Tracing in VLMs for Hallucination Mitigation,Li et al.,2025,AAAI,Causal Tracing,3,0.6666666666666666,
2511.09432,Group Equivariance Meets MI: Equivariant SAEs,Erdogan & Lucic,2025,NeurIPS Workshop,SAE,3,1.0,
2511.22662,Difficulties with Evaluating a Deception Detector for AIs,Smith et al.,2025,arXiv,Probing,4,0.75,
2512.05534,On the Theoretical Foundation of Sparse Dictionary Learning in MI,Tang et al.,2025,arXiv,SAE Theory,3,0.6666666666666666,
2512.05794,Mechanistic Interpretability of Antibody Language Models Using SAEs,Haque et al.,2025,arXiv,SAE Attribution,5,0.6,
2512.05865,Sparse Attention Post-Training for Mechanistic Interpretability,Draye et al.,2025,arXiv,Attention Analysis,5,0.6,
2512.06681,Mechanistic Interpretability of GPT-2 Sentiment Analysis,Hatua,2025,arXiv,Activation Patching,3,1.0,
2512.13568,Superposition as Lossy Compression: Measure with SAE,Bereska et al.,2025,TMLR,SAE Analysis,4,0.5,
2512.18092,Faithful and Stable Neuron Explanations for MI,Yan et al.,2025,arXiv,Neuron Attribution,3,0.0,
2601.02989,MI of Large-Scale Counting in LLMs,Hasani et al.,2026,arXiv,Circuit Analysis,3,0.6666666666666666,
2601.03047,When the Coffee Feature Activates on Coffins: SAE Critique,Ronge et al.,2026,arXiv,SAE Attribution + Steering,4,0.25,
2601.03595,Controllable LLM Reasoning via SAE-Based Steering,Fang et al.,2026,arXiv,SAE + Steering,4,0.5,
2601.05679,Falsifying SAE Reasoning Features in Language Models,Ma et al.,2026,arXiv,SAE Attribution,3,0.6666666666666666,
2601.11516,Building Production-Ready Probes For Gemini,Kramár et al.,2026,arXiv,Linear Probing,2,0.0,
